PRDCT_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY,DAY_INTK_LOWLIMIT,DAY_INTK_HIGHLIMIT,INTK_UNIT,INTK_MEMO,SKLL_IX_IRDNT_RAWMTRL,CRET_DTM,LAST_UPDT_DTM
쑥부쟁이추출분말(제2019-13호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-국화과에 알레르기를 나타내는 사람은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음
(영문) May help to improve nasal condition caused by hypersensitivity reaction",2,2,g/일,,루틴(Rutin),20191226,20201029
인동덩굴꽃봉오리추출물(그린세라-F)(제2019-14호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa",250,250,mg/일,,Secoxyloganin,20191226,20201029
차즈기추출물(제2019-17호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)  눈의 피로도 개선에 도움을 줄 수 있음
(영문) May help to improve eye fatigue",500,500,mg/일,,Luteolin-7-O-diglucuronide,20191226,20201008
가자추출물(AyuFlexⓇ)(제2022-12호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) · 관절 및 연골 건강에 도움을 줄 수 있음
· 장시간 고정적인 자세로 인한 다리의 불편감(부기) 완화에 도움을 줄 수 있음
(영문) · May help to maintain joint and cartilage health
· May help to relieve leg discomfort and swelling caused by prolonged static posture",500,500,mg/일,제2022-12호,엘라그산(Ellagic acid),20220728,20260908
강황추출물(제2023-5호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산역류 등이 있을 수 있음
(5) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(6) 수술 전후에는 섭취에 주의","(국문) 근력개선에 도움을 줄 수 있음
(영문) May help to improve muscle strength",250,250,mg/일,,커큐민(curcumin),20230411,20230411
L. plantarum LC27과 B. longum LC67의 프로바이오틱스 복합물(NVP-1702)(제2023-19호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것","(국문) 비알콜성 간손상으로부터 간 건강에 도움을 줄 수 있음
(영문) May help to liver health by non-alcoholic liver injury",10000000000,10000000000,CFU/일,제2023-19호,프로바이오틱스 수,20230712,20230712
양춘사추출물(제2023-6호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",500,500,mg/일,제2023-6호,바닐릭산(Vanillic acid),20230818,20230818
홍삼(제2024-20호),"(1) 당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
(2) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(3) 사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 혈당조절에 도움을 줄 수 있음
(영문) May help to maintain healthy blood glucose levels",23,23,mg/일,제2024-20호,"진세노사이드 Rg1, Rb1 및 Rg3",20240924,20250819
CaHMB(Calcium β-Hydroxy-β-methylbutyrate)(제2023-26호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기체질, 고콜레스테롤혈증 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것","(국문) 운동수행능력 향상에 도움을 줄 수 있음
(영문) May help to improve endurance of exercise performance capability",3,3,g/일,제2023-26호,"Ca(calcium), HMB(β-Hydroxy β-methylbutyric acid), CaHMB monohydrate",20241011,20241011
마리골드꽃추출물(지아잔틴함유)(제2024-25호),「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름,「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름,12,12,mg/일,제2024-25호,"루테인(Lutein), 총 지아잔틴(Total Zeaxanthin)",20241107,20241107
천마추출물(제2024-19호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취시 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) · 노화로 인해 저하된 인지기능 개선에 도움을 줄 수 있음
· 기억력 개선에 도움을 줄 수 있음
(영문) · May help to improve cognitive function affected by aging
· May help to improve memory",500,500,mg/일,제2024-19호,가스트로딘(Gastrodin),20241210,20260730
대두추출물등 복합물(메노세라)(제2019-29호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의
(3) 메스꺼움 등 소화계통의 불편함과 설사를 유발 할 수 있음
(4) 알레르기 체질이거나 특정질환이 있는 사람은 섭취 전 전문가와 상담할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 여성건강에 도움을 줄 수 있음
(영문) May help to menopausal women`s health",190,190,mg/일,제2019-29호,"1) 대두 : 대두이소플라본(비배당체), 2) 호프 : 8-Prenylnaringenin",20241217,20241217
배초향·고지베리·무화과복합추출물(제2024-23호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취 시 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의해 손상된 피부 건강 유지에 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing, ② May help to maintain skin health from skin damage by UV radiation",500,500,mg/일,제2024-23호,"틸리아닌(Tilianin), 베타인(Betaine), 루틴(Rutin)",20250102,20250102
홍삼추출효소처리분말(제2024-33호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 당뇨치료제 및 혈액항응고제 복용시 섭취에 주의할 것","(국문) 혈압조절에 도움을 줄 수 있음
(영문) May help to regulate blood pressure",400,400,mg/일,제2024-33호,"진세노사이드 Rg3(S와 R의 합)(Ginsenoside Rg3(S-form, R-form)),  진세노사이드 Rg3(S)(Ginsenoside Rg3(S-form))",20250117,20250117
발효굴추출물(FSO)(제2023-41호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 질환이 있거나 의약품 복용 시 섭취 전 전문가와 상담할 것","(국문) 근력개선에 도움을 줄 수 있음
(영문) May help to improve muscle strength",1000,1000,mg/일,제2023-41호,"감마아미노부틸산(γ-aminobutyric acid, GABA), 타우린(Taurine)",20250123,20250123
유산균발효굴추출물(FGO)(제2024-26호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정원료에 알레르기가 있거나 장기간 또는 의약품 복용시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 키 성장에는 충분한 영양섭취, 적절한 수면, 건강한 생활습관·운동을 병행하여야 함","(국문) 어린이 키성장에 도움을 줄 수 있음
(영문) May help to children grow taller",500,500,mg/일,제2024-26호,"감마-아미노부틸산(γ-aminobutyric acid, GABA), 타우린(Taurine)",20250206,20250206
포도블루베리추출혼합분말(제2019-30호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 기억력 개선에 도움을 줄 수 있음
(영문) May help to improve memory",600,600,mg/일,제2019-30호,"(+)-Catechin, Quercetin",20250224,20250224
프로바이오틱스(Lactiplantibacillus plantarum KC3)·익모초추출복합물(CKDB-315)(제2025-1호),"(1) 영·유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정 질환(알레르기 체질, 단장 증후군 등)이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것","(국문) 기관·기관지 상태(기침·가래 등) 개선에 도움을 줄 수 있음
(영문) May help to improve trachea·bronchi condition (cough·sputum etc)",980,980,mg/일,제2025-1호,"프로바이오틱스 수, 레오누린(Leonurine)",20250307,20250307
털부처꽃추출물(제2024-37호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",500,500,mg/일,제2024-37호,오리엔틴(Orientin),20250314,20250314
산딸기·왕느릅나무·치자추출복합물(제2024-36호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa",1800,1800,mg/일,제2024-36호,"엘라그산(Ellagic acid), 카테킨 7-O-β-D-아피오퓨라노사이드(Catechin 7-O-β-D- apiofuranoside), 제니포사이드(Geniposide)",20250321,20250321
헛개나무과병·오미자박추출복합물(제2025-18호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음
(영문) May help to protect liver",500,500,mg/일,제2025-18호,"미리세틴(Myricetin), 쉬잔드린(Schizandrin)",20250411,20250411
밀배유추출물(제2025-10호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)
① 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
② 피부 보습에 도움을 줄 수 있음
(영문)
① May help to maintain skin health from skin damage by UV radiation
② May help to maintain skin moisturizing",30,30,mg/일,제2025-10호,글루코실세라마이드(Glucosylceramide),20250415,20250718
핑거루트추출물(판두라틴)(제2013-5호),-,"(국문)
(1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(2) 체지방 감소에 도움을 줄 수 있음
(3) 피부보습에 도움을 줄 수 있음
(영문)
(1) May help to maintain skin health from skin damage by UV radiation
(2) May help to reduce body fat
(3) May help to maintain skin moisturizing",300,300,mg/일,제2013-5호,판두라틴(Panduratin A),20250516,20250516
골드키위유산균발효물(Kiwibiotics®)(제2025-22호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장 증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 과다 섭취하지 말 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa",10,10,mL/일,제2025-22호,"구연산(Citric acid), 열처리배양균체 수",20250619,20250619
모로오렌지추출분말(Morosil®)(제2025-25호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정 질환(알러지 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",400,400,mg/일,제2025-25호,시아니딘 3-글루코사이드(Cyanidin 3-glucoside),20250703,20250703
녹각효소분해추출물HP(NP-2007)(제2025-28호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 호르몬제 등 의약품 복용 시 전문가와 상담할 것","(국문) ① 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
② 피부 보습에 도움을 줄 수 있음
(영문) ① May help to maintain skin health from skin damage by UV radiation
② May help to maintain skin moisturizing",500,500,mg/일,제2025-28호,· 하이포잔틴(hypoxanthine) · Glycine-Proline-Hydroxyproline-Glycine-Proline-Alanine-Glycine -Proline-Arginine(Gly-Pro-Hyp-Gly-Pro-Ala-Gly-Pro-Arg),20250710,20260713
감국감태추출복합물(제2025-33호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 요오드 함량이 높은 식품(해조류, 어패류 등)과 섭취 시 주의
(5) 갑상선질환, 위장관 장애(질환) 등을 보유하고 있는 사람은 섭취 시 주의","(국문) 기관·기관지 상태(기침·가래 등) 개선에 도움을 줄 수 있음
(영문) May help to improve the condition(cough·phlegm, etc) of trachea·bronchi",700,700,mg/일,제2025-33호,"루테올린-7-글루코사이드(Luteolin-7-glucoside), 디엑콜(Dieckol)",20250711,20250711
Lactiplantibacillus plantarum LMT1-48 프로바이오틱스(제2025-32호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(5) 과다 섭취하지 말것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",5000000000,5000000000,CFU/일,제2025-32호,프로바이오틱스 수,20250721,20250721
유청단백지질추출물(제2023-29호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
       ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin
        ② May help to maintain good skin health by protecting against damage from UV exposure",600,600,mg/일,제2023-29호,스핑고마이엘린(세라마이드 포스포콜린),20250828,20250828
오미자박추출물(제2025-30호),"(1)영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2)특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4)의약품(항응고제 등)과 복용 시 섭취에 주의할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",1,1,g/일,제2025-30호,쉬잔드린(Schizandrin),20251028,20251028
황해쑥추출분말(제2024-21호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 위염치료제 등 의약품을 복용하시는 분은 섭취 전 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa",240,240,mg/일,제2024-21호,이소클로로겐산 C(Isochlorogenic acid C),20251128,20260107
연어코연골추출물(제2025-42호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) · 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음
       · 피부 보습에 도움을 줄 수 있음
       · 관절 및 연골 건강에 도움을 줄 수 있음
(영문) · May help to maintain skin health from skin damage by UV radiation
       · May help to maintain skin moisturizing
       · May help to maintain joint and cartilage health",50,50,mg/일,제2025-42호,"콘드로이친황산나트륨, AEPTIIHTETR(연어코연골 프로테오글리칸 특이펩타이드)",20251219,20260730
아연,,"(1) 정상적인 면역기능에 필요
(2) 정상적인 세포분열에 필요",2.55,12,mg,,,20080626,20241219
구리,,"(1) 철의 운반과 이용에 필요
(2) 유해산소로부터 세포를 보호하는데 필요",0.24,7,mg,,,20080626,20241219
셀레늄(또는 셀렌),,(1) 유해산소로부터 세포를 보호하는데 필요,0.0165,0.135,mg,,,20080626,20241219
요오드,,"(1) 갑상선 호르몬의 합성에 필요
(2) 에너지 생성에 필요
(3) 신경발달에 필요",0.045,0.15,mg,,,20080626,20241219
망간,,"(1) 뼈 형성에 필요
(2) 에너지 이용에 필요
(3) 유해산소로부터 세포를 보호하는데 필요",0.9,3.5,mg,,,20080626,20241219
몰리브덴,,(1) 산화·환원 효소의 활성에 필요,0.0075,0.23,mg,,,20080626,20241219
칼륨,"(1) 신장질환, 위장관질환 등이 있는 경우 섭취 전 전문가와 상담할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 체내 물과 전해질 균형에 필요,1050,3700,mg,,,20080626,20241219
크롬,"(1) 당뇨병이 있는 경우 섭취 전 전문가와 상담할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 체내 탄수화물, 지방, 단백질 대사에 관여",0.009,9,mg,,,20080626,20220105
식이섬유,반드시 충분한 물과 함께 섭취할 것(액상제외),(1) 식이섬유 보충,5000,999999999,mg,,,20080626,20241219
단백질,특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의,"(1) 근육, 결합조직 등 신체조직의 구성성분
(2) 효소, 호르몬, 항체의 구성에 필요
(3) 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요
(4) 체액, 산-염기의 균형 유지에 필요
(5) 에너지, 포도당, 지질의 합성에 필요",12,999999999,g,,,20080626,20241219
필수 지방산,,(1) 필수지방산의 보충,600,999999999,mg,"리놀레산 4.0g 이상, 리놀렌산 0.6g 이상",,20080626,20241219
인삼,"(가) 당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
(나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(가) 면역력 증진·피로개선·뼈 건강에 도움을 줄 수 있음
(나) 간 건강에 도움을 줄 수 있음[1) (2) (다)의 제조방법에 한함]",3,80,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",진세노사이드 Rg1과 Rb1의 합,20080626,20241220
홍삼,"(3) 섭취 시 주의사항 
 (가)당뇨치료제 및 혈액항응고제 복용 시 섭취에 주의
 (나)알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
 (다)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1)기능성 내용 : 면역력 증진･피로개선･혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화･갱년기 여성의 건강에 도움을 줄 수 있음
(2) 일일섭취량
 (가)면역력 증진･피로개선에 도움을 줄 수 있음 : 진세노사이드 Rg1, Rb1 및 Rg3의 합계로서 3~80 mg
 (나)혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화에 도움을 줄 수 있음 : 진세노사이드 Rg1, Rb1 및 Rg3의 합계로서 2.4~80 mg
 (다)갱년기 여성의 건강에 도움을 줄 수 있음 : 진세노사이드 Rg1, Rb1 및 Rg3의 합계로서 25~80 mg",2.4,80,mg,"면역력증진·피로개선:진세노사이드Rg1,Rb1및Rg3의합계로서3～80mg,혈소판응집억제를 통한 혈액흐름·기억력 개선·항산화:진세노사이드Rg1,Rb1및Rg3의합계로서2.4～80mg,갱년기여성의 건강:진세노사이드Rg1,Rb1및Rg3의합계로서25∼80mg","진세노사이드 Rg1, Rb1 및 Rg3 의 합",20080626,20240830
알로에 전잎,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 위·신장·간질환이 있거나 의약품 복용 시 전문가와 상담할 것
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",①배변활동 원활에 도움을 줄 수 있음,20,30,mg,,안트라퀴논계화합물(무수바바로인으로서),20080626,20220926
프로폴리스추출물,"(가) 프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 기능성 내용 : 항산화 ․ 구강에서의 항균작용에 도움을 줄 수 있음
  ※ 구강에서의 항균작용은 구강에 직접 접촉할 수 있는 형태에 한하며, 섭취량을 적용하지 않음",20,40,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",총 플라보노이드,20080626,20241220
레시틴,대두나 난황에 알레르기를 나타내는 사람은 섭취에 주의,혈중 콜레스테롤 개선에 도움을 줄 수 있음,1.2,18,g,,인지질(아세톤불용물로서),20080626,20200820
식물스테롤/식물스테롤에스테르,베타-카로틴(β-carotene)의 흡수를 저해할 수 있음,① 혈중 콜레스테롤 개선에 도움을 줄 수 있음,0.8,3,g,"식물스테롤로서 0.8～3 g(식물스테롤을 원료로 사용한 경우), 식물스테롤에스테르로서 1.28~4.8 g(식물스테롤에스테르를 원료로 사용한 경우)",식물스테롤,20080626,20241220
알콕시글리세롤 함유 상어간유,,① 면역력 증진에 도움을 줄 수 있음,0.6,2.7,g,최종제품 중 비타민 A 및 D의 함량이 제 3. 1. 1-1 비타민 A 및 1-3 비타민 D 일일 섭취량의 최대함량을 넘지 않도록 하여야 함(비타민 A 및 D의 함량이 반드시 표시되어야 함),알콕시글리세롤,20080626,20241220
옥타코사놀 함유 유지,"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 지구력 증진에 도움을 줄 수 있음,10,40,mg,,옥타코사놀,20080626,20260723
매실추출물,,①피로 개선에 도움을 줄 수 있음,1,1.3,g,,구연산,20080626,20170221
글루코사민,"(가) 임산부 및 수유부는 섭취를 피할 것
(나) 간·심장질환, 수술 전후, 고혈압, 당뇨 및 천식이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것
(다) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의할 것(게 또는 새우를 원재료로 사용한 경우)
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",①관절 및 연골 건강에 도움을 줄 수 있음,1.5,1.5,g,,글루코사민 황산염 또는 염산염,20080626,20200820
뮤코다당.단백,,관절 및 연골건강에 도움을 줄 수 있음,1.2,1.5,g,,뮤코다당·단백,20080626,20200521
히알루론산,,"(1)기능성 내용 : 피부보습･자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음
(2) 일일섭취량
 (가) 피부보습에 도움을 줄 수 있음 : 히알루론산으로서 120∼240 mg
 (나)자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음 : 히알루론산으로서 240 mg",120,240,mg,"건기공전(제2019-91호, 기능성내용 변경)",히알루론산,20160105,20240830
"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)","(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함)
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 관절 및 연골 건강·피부보습에 도움을 줄 수 있음,0.5,1,g,(24.12.23.) 섭취시주의사항 현행화 / '24 신뢰성 확보,N-아세틸글루코사민,20170222,20241223
폴리감마글루탐산,,① 체내 칼슘흡수 촉진에 도움을 줄 수 있음,60,70,mg,,폴리감마글루탐산,20170222,20241223
빌베리 추출물,,① 눈의 피로 개선에 도움을 줄 수 있음,160,240,mg,빌베리 추출물로서 160~240 mg(안토시아노사이드로서 50~108 mg),총 안토시아노사이드(Anthocyanosides),20170222,20241223
라피노스,(1) 섭취량 이상 섭취 시 설사를 유발할 수 있음,"(1) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음
(2) 배변활동을 원활히 하는데 도움을 줄 수 있음",3,5,g,,라피노스,20170222,20241223
분말한천,"(가) 어린이나 임산부, 수유부는 섭취를 주의해야 함
(나) 충분한 물과 함께 섭취해야 함
(다) 과다 섭취 시 미약한 설사, 구토, 배변량 증가, 배변빈도 증가, 복부 팽만, 두통 등의 부작용을 일으킬 수 있음",(1) 배변활동에 도움을 줄 수 있음,1.6,4,g,분말한천으로서 2～5 g(총 식이섬유로서 1.6～4.0 g),총 식이섬유,20170222,20241223
크레아틴,"(가) 신장에 영향을 미치는 약물을 복용하거나 신장 이상의 위험이 있는 사람은 의사와 상담 후에 섭취하여야 함
(나) 어린이, 임산부, 수유부는 섭취를 삼가
(다) 카페인은 크레아틴의 기능을 감소시킬 수 있음
(라) 크레아틴의 섭취는 탈수를 동반할 수 있으므로 충분한 물과 함께 섭취하여야 함
(마) 과다 섭취하지 말 것",① 근력 운동 시에 운동수행능력 향상에 도움을 줄 수 있음,3,3,g,(24.12.23.) 일일섭취량 현행화 / '24 신뢰성 확보,크레아틴 모노하이드레이트,20170222,20241223
유단백가수분해물,"(가) 임산부, 수유여성 및 어린이는 섭취에 주의
(나) 우유 및 유제품에 대하여 알레르기를 나타내는 사람은 섭취에 주의",(1) 스트레스로 인한 긴장 완화·수면의 질 개선에 도움을 줄 수 있음,2.7,4.1,mg,(가) 스트레스로 인한 긴장 완화에 도움을 줄 수 있음 : 알파에스1카제인 (αS1- casein)(f91-100)으로서 2.7 ∼ 4.1 mg          (나) 수면의 질 개선에 도움을 줄 수 있음 : 알파에스1카제인(αS1- casein)(f91-100)으로서 5.4 ∼ 8.2 mg,알파에스1카제인(αS1-casein)(f91-100),20170222,20260903
상황버섯추출물,,① 면역기능 개선에 도움을 줄 수 있음,287.1,534.6,mg,상황버섯추출물로서 3.3 g(베타글루칸(β-glucan)으로서 287.1～534.6 mg),베타글루칸(β-glucan),20170222,20241223
토마토추출물,"(가) 알레르기 체질이신 분은 개인에 따라 과민반응을 나타낼 수 있음
(나) 과량 섭취 시 피부색이 오렌지색으로 변할 수 있음
(다) 임산부, 수유 여성 및 어린이는 섭취에 주의",① 항산화에 도움을 줄 수 있음,5.7,15,mg,,all-trans-라이코펜,20170222,20241223
곤약감자추출물,(1) 임산부와 수유기 여성은 섭취를 피할 것,(1) 피부 보습에 도움을 줄 수 있음,1.2,1.8,mg,,글루코실세라미드(Glucosylceramide),20170222,20241223
